Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crest Factor,Form Factor,Fault
0.427,-0.957,-0.1145437255859375,0.114860042054069,0.1622121211291281,0.0126484269407886,4.174285029043868,2.6323556897458285,-1.4161589410449809,Inner Race
0.63,-0.854,-0.1141332275390624,0.1144666993446216,0.1616437409831368,-0.0230188944294483,4.360105254147673,3.8974599088604576,-1.416272407856106,Inner Race
0.645,-0.718,-0.1139592529296875,0.1148011305157447,0.1617581192266471,0.073040392491648,3.947496087524631,3.987435085692727,-1.4194382208389111,Inner Race
0.815,-0.75,-0.1144642333984375,0.1128412358167228,0.1607323687386942,0.0205317469869912,4.516739581089804,5.070540591142295,-1.4042147836626169,Inner Race
0.723,-0.728,-0.1152170654296875,0.1160002663584904,0.1634952765199531,-0.0459456183940625,4.3385099274322965,4.422146103479413,-1.4190196210102917,Inner Race
0.5,-0.754,-0.113781201171875,0.1161020707835484,0.1625592922177262,-0.003243562645056,4.093122338619418,3.075800793536412,-1.4287007919011887,Inner Race
0.637,-0.964,-0.11473779296875,0.1176488007204362,0.1643339999068684,0.0263672373394875,4.456181713297344,3.876252025515119,-1.4322569369242306,Inner Race
0.664,-0.754,-0.1143548828125,0.1172353258184254,0.1637706484476652,0.0028231877498286,4.304108758721558,4.054450576424192,-1.4321264157665126,Inner Race
0.52,-0.828,-0.1142925537109375,0.1168225058443231,0.1634317977464864,0.0437483320280494,4.441870244069589,3.1817553693352765,-1.4299426554054362,Inner Race
0.579,-0.82,-0.114818310546875,0.1145133716412747,0.1621611438423694,-0.0526332845690549,4.001950168418841,3.570522421590856,-1.412328252088037,Inner Race
0.891,-0.671,-0.1141825927734375,0.1136371816470218,0.1610923904980219,-0.0256018549005087,4.154258252520864,5.530987511237787,-1.4108314287245467,Inner Race
0.706,-1.104,-0.115094580078125,0.1157222683395573,0.1632117606319892,-0.0557850141068485,5.1746862077114,4.325668672810243,-1.4180664330258017,Inner Race
0.591,-0.913,-0.1140570556640625,0.1171816628966096,0.1635243676741854,0.0829116518007541,4.683694295921046,3.614140255705129,-1.4337067244294055,Inner Race
0.493,-0.796,-0.113368212890625,0.1169517668935177,0.1628795062152445,0.0296435861604971,3.960857335062552,3.026777348824369,-1.4367299445073447,Inner Race
0.64,-0.977,-0.1148673095703125,0.117837532311559,0.1645595449168543,0.0420049537934938,4.637921754523219,3.889169724693683,-1.4326055475002155,Inner Race
0.693,-1.318,-0.1154485595703125,0.1182874091781237,0.165287445008806,-0.1682908638228525,5.4569967458820585,4.19269594229059,-1.4316977675944045,Inner Race
0.483,-0.659,-0.1139058837890625,0.1151711528450911,0.16198339720996,0.0423462815996719,3.818017864896504,2.9817870739798344,-1.4220810358658051,Inner Race
0.605,-1.028,-0.1140875,0.1171070978840046,0.1634921870146819,0.0362255488129789,4.254355782854735,3.700482641079782,-1.4330420687163972,Inner Race
0.552,-0.823,-0.1148906982421874,0.1160184130481697,0.1632783393131715,0.0267427468840977,4.124839328976113,3.380730122084666,-1.421162390091701,Inner Race
0.598,-0.869,-0.1140922607421875,0.1146305163806388,0.161730882772533,0.0341230449788302,4.288191718346482,3.6975003768517065,-1.4175447284544018,Inner Race
0.535,-0.935,-0.1137412353515624,0.1189026282904116,0.1645434850478124,-0.0333052789980264,4.4002491403055775,3.2514201327663725,-1.4466475991686345,Inner Race
0.762,-0.845,-0.1150574462890625,0.1169287065514844,0.1640433008855579,-0.0425373203599209,4.474258107526858,4.645115014672843,-1.42575127622272,Inner Race
0.647,-0.85,-0.114814990234375,0.1159872245364557,0.1632029098849707,-0.0303843589719571,4.687606186558451,3.964390098534524,-1.4214425272503193,Inner Race
0.554,-0.781,-0.1148567626953125,0.1179156586584981,0.1646081378246104,-0.001205188798127,4.18969314333174,3.365568721701267,-1.4331601723903398,Inner Race
0.466,-1.086,-0.1148497314453124,0.1155679316559875,0.1629296828922919,-0.0437697260233771,4.342700976973039,2.860129546241485,-1.418633555707298,Inner Race
0.649,-0.886,-0.1149979248046874,0.1184642741224364,0.165099861693021,-0.1144743351352782,4.38203968276067,3.930954231849813,-1.4356768782865146,Inner Race
0.513,-0.764,-0.1146468017578124,0.1170046232813533,0.1638097579266637,-0.0262591725602894,4.125560717797705,3.131681570701458,-1.4288209999325268,Inner Race
0.662,-0.845,-0.11410390625,0.1160750068128227,0.1627660274366245,0.0323733475935144,4.203850839853636,4.067187793581557,-1.4264720007043976,Inner Race
0.842,-0.757,-0.1145923828125,0.117251750969375,0.1639483200894606,0.0393476976868078,4.217376640099779,5.135764730864891,-1.4307087091270152,Inner Race
0.569,-0.989,-0.11457158203125,0.1148448755755779,0.1622210555063965,-0.0241233493003528,4.043949027680461,3.507559473237208,-1.4158926029506154,Inner Race
0.808,-0.759,-0.1144515380859374,0.1175203590280476,0.1640422267980155,0.0381911673385887,4.475322972566582,4.925561032494925,-1.4332898407607435,Inner Race
0.527,-0.659,-0.1147876953125,0.1145399430957599,0.162158235257167,0.0585000080234696,3.815369283938069,3.2499120329240734,-1.4126795978933515,Inner Race
0.547,-0.903,-0.11394970703125,0.1161996128144373,0.1627469081227524,-0.0273053215200606,4.260387442274901,3.361046955112802,-1.4282345462996242,Inner Race
0.637,-0.723,-0.1140832763671874,0.1145285056504124,0.1616522573901643,0.0454800249236372,4.049191697654798,3.940557405657102,-1.416967171155496,Inner Race
0.708,-0.881,-0.11444384765625,0.1176605901490418,0.1641373533110398,0.0647470244000101,4.724249544365838,4.313460560426741,-1.4342173622478342,Inner Race
0.52,-0.774,-0.1140087158203125,0.1151709821652139,0.1620556033560751,0.0182814713935379,3.9134506354138585,3.208775193397262,-1.4214317053749528,Inner Race
0.911,-1.541,-0.11430078125,0.1156063907335234,0.162570538175933,-0.0107397068901891,5.954540164050721,5.603721376711691,-1.4223046981661205,Inner Race
0.603,-1.155,-0.1148911865234375,0.1167042856152766,0.1637667319844992,-0.0638597760396699,5.000529293935369,3.68206651432157,-1.4254072652569505,Inner Race
0.557,-1.052,-0.1151992431640624,0.1190618461575457,0.1656690760191033,-0.0637841878763099,4.575768857262314,3.3621241415976284,-1.4381090662476277,Inner Race
0.613,-0.732,-0.1150845703125,0.1165961674018492,0.1638254945842717,-0.0140241030223005,3.824124061855827,3.741786353556059,-1.4235226680641972,Inner Race
0.601,-0.801,-0.114681494140625,0.1164499476877359,0.1634383808831424,-0.0353568553550645,4.125403067441674,3.677226834679132,-1.4251504317054904,Inner Race
0.625,-0.918,-0.1149533447265625,0.1181763615494133,0.1648623150831332,-0.014612859828787,4.4209693085483375,3.791042238396557,-1.434167187351428,Inner Race
0.586,-0.84,-0.1137992187499999,0.1175461781639546,0.1636063227916998,0.0773388872252008,4.098236629717061,3.581768662731226,-1.4376752721924977,Inner Race
