,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2003-10-22 12:06:24,0.1022003027491559,0.10457571170467242,0.10714944577371949,0.09715782020606231
2003-10-22 12:09:13,0.1017526490551289,0.10555449484838039,0.10755969529762135,0.0943285072513288
2003-10-22 12:14:13,0.1032906880218745,0.10629261682699279,0.10930780311538577,0.09722816055471253
2003-10-22 12:19:13,0.10323673030909586,0.10576463694516262,0.10903918648371466,0.0977078226475882
2003-10-22 12:24:13,0.10347985741491159,0.10528639093705677,0.10890180184579296,0.09741420479515382
2003-10-22 12:29:13,0.10348071194882463,0.10499550759314324,0.1094792714488005,0.10257605351823623
2003-10-22 12:34:13,0.10303750183114244,0.10553310708530646,0.10899370086429949,0.0743940866253217
2003-10-22 12:39:13,0.10307598027247264,0.10512036720542865,0.10883444015820984,0.10024932858049489
2003-10-22 12:44:13,0.10346323062649437,0.10578136139459832,0.10869974119829989,0.08262280873089389
2003-10-22 12:49:13,0.10284730699741065,0.10470123052883394,0.10885465598906152,0.09137570193857002
2003-10-22 12:54:13,0.1032736950046376,0.10472471800380788,0.10853630548366588,0.10723983104643599
2003-10-22 12:59:13,0.10292379999023221,0.10523343424971823,0.10943874212607951,0.09061895112065907
2003-10-22 13:04:13,0.10260217784071375,0.10491859954099281,0.10804836661946332,0.09663367351921279
2003-10-22 13:09:13,0.10275113530933982,0.10494748278724494,0.10957466184872258,0.09671856535963508
2003-10-22 13:14:13,0.10277301137750769,0.1044075394306355,0.10869883783387829,0.09651457590702435
2003-10-22 13:19:13,0.10553322916157898,0.10474700913130458,0.10804536354314162,0.0970237560427734
2003-10-22 13:24:13,0.10350522486449436,0.10555891400947205,0.10925577420772452,0.09694665266858517
2003-10-22 13:29:13,0.10442065042238287,0.10577721080130742,0.10912669075638404,0.09798373944039979
2003-10-22 13:34:13,0.10311592362908181,0.10590331559158073,0.108982225694613,0.09702331656819006
2003-10-22 13:39:13,0.10374532447873319,0.10502048439865165,0.1091167293324864,0.07293486010058939
2003-10-22 13:44:13,0.10336632648078364,0.10592582645636889,0.1087006689779775,0.09742155378680392
2003-10-22 13:49:13,0.10454958738219514,0.10536422676888427,0.10845956833829741,0.09756604326382903
2003-10-22 13:54:13,0.10371724693588419,0.10561763269690799,0.10893840031251496,0.09579261682699167
2003-10-22 13:59:13,0.10437423702329138,0.10526185360613172,0.10904880609404713,0.11657956931490633
2003-10-22 14:04:13,0.1027467405635027,0.10498295815225306,0.1089674544655494,0.16350510278822153
2003-10-22 14:09:13,0.10284091020069179,0.10540981004931788,0.10891125054934253,0.09569407685922017
2003-10-22 14:14:13,0.10369456516431366,0.10488053615899112,0.1090509302212016,0.09718494555398038
2003-10-22 14:19:13,0.10339027784559669,0.1063155427511106,0.10954670638214672,0.09802646613604023
2003-10-22 14:24:13,0.10396894379608318,0.10529037062356536,0.10944877679574105,0.09649755847453292
2003-10-22 14:29:13,0.104303286293275,0.10478372967429987,0.10929852531861858,0.09880563015772029
2003-10-22 14:34:13,0.10321114312222142,0.10564348845158351,0.10895082767713177,0.09839325650666364
2003-10-22 14:39:13,0.10336119927730733,0.10541881927828395,0.10876519849602001,0.09824283412275807
